rank,video_id,title,view_count,duration_sec,estimated_speakers,guests,url
67,TlAbPkMlNOU,“NOT A Lone Gunman” Trump Declassifies JFK Files - Was It a Mob Job? With Michael Franzese,2900000,1833,4,"Jefferson Morley, Michael Franzese, Mike Baker",https://www.youtube.com/watch?v=TlAbPkMlNOU
73,R06YFQU88lc,"""You Behave Like An Idiot!"" Piers Morgan SCOLDS Foul-Mouthed Eco-Protester",2800000,774,3,"Riz Possnett, Dale Vince",https://www.youtube.com/watch?v=R06YFQU88lc
74,PD9a8q-LW3w,What Is A Woman? EVERY Answer Piers Morgan Received On His Show,2800000,442,4,"Matt Walsh, Macy Gray, Richard Winston",https://www.youtube.com/watch?v=PD9a8q-LW3w
76,quRdOfmIDg0,"""We ARE Going To Name Names!"" New Diddy Revelations Given To Piers Morgan",2700000,2912,4,"Choke No Joke, Esther Krakue, Andrew Cherkasky",https://www.youtube.com/watch?v=quRdOfmIDg0
87,qBgfzygwaqE,“You Are a PARASITE!” Hamas Leader’s Son vs Cenk Uygur On Sinwar Death,2500000,2517,3,"Mosab Hassan Yousef, Cenk Uygur",https://www.youtube.com/watch?v=qBgfzygwaqE
91,Mb8okSaOQ5A,"""Difficult Time To Be A Woman"" | Dylan Mulvaney v Piers Morgan x Riley Gaines x Brandon Tatum",2500000,1747,5,"Riley Gaines, Esther Krakue, James Barr, Brandon Tatum",https://www.youtube.com/watch?v=Mb8okSaOQ5A
92,beOiJcG0UMk,"""You're A MONSTER!"" Cenk Uygur vs Douglas Murray On Israel-Palestine War With Piers Morgan",2500000,1933,3,"Cenk Uygur, Douglas Murray",https://www.youtube.com/watch?v=beOiJcG0UMk
93,u5_6mMV7Hc4,"Israel-Palestine War: ""There Is No Deal With The Devil!"" Cenk Uygur vs Mosab Hassan Yousef On Hamas",2500000,1060,4,"Mosab Hassan Yousef, Cenk Uygur, Avram Grant",https://www.youtube.com/watch?v=u5_6mMV7Hc4
99,QvGkKKemIDk,“You’ve NO IDEA How Many You’ve Killed?”  Piers Morgan vs Avi Hyman,2300000,2398,4,"Avi Hyman, Abby Martin, Mosab Hassan Yousef",https://www.youtube.com/watch?v=QvGkKKemIDk
100,wndJdXwK558,LGBTQ Activist Takes On Piers Morgan Over Athletes Refusing To Wear Rainbow Colours,2300000,562,3,"Lewis Oakley, Tyrus",https://www.youtube.com/watch?v=wndJdXwK558
